epoch,accuracy,loss,val_accuracy,val_loss
0,0.7459999918937683,0.829936683177948,0.7699999809265137,0.4569477438926697
1,0.8299999833106995,0.3973535895347595,0.8949999809265137,0.26137015223503113
2,0.8650000095367432,0.30498382449150085,0.8912500143051147,0.2815417945384979
3,0.9070000052452087,0.25360584259033203,0.9049999713897705,0.27594202756881714
4,0.9139999747276306,0.22319278120994568,0.9012500047683716,0.28115925192832947
5,0.9390000104904175,0.16887006163597107,0.8887500166893005,0.31008180975914
6,0.9409999847412109,0.15132583677768707,0.8962500095367432,0.3252201974391937
7,0.9430000185966492,0.1380200982093811,0.8987500071525574,0.3129401206970215
8,0.9509999752044678,0.12692074477672577,0.8899999856948853,0.4207797348499298
9,0.9629999995231628,0.0909002348780632,0.8550000190734863,0.573895275592804
